Marca de Tiempo, Uso de Memoria (%)
14:24:46, 83.6
14:24:47, 83.5
14:24:48, 83.6
14:24:49, 83.6
14:24:50, 83.6
14:24:51, 83.6
14:24:52, 83.6
14:24:53, 83.6
14:24:54, 83.6
14:24:55, 83.6
14:24:56, 83.6
14:24:57, 83.5
14:24:58, 83.5
14:24:59, 83.5
14:25:00, 83.5
14:25:01, 83.5
14:25:02, 83.5
14:25:03, 83.5
14:25:04, 83.6
14:25:05, 83.7
14:25:06, 83.5
14:25:07, 83.6
14:25:08, 83.6
14:25:09, 83.5
14:25:10, 83.5
14:25:11, 83.5
14:25:12, 83.5
14:25:13, 83.5
14:25:14, 83.5
14:25:15, 83.5
14:25:16, 83.5
14:25:17, 83.5
14:25:18, 83.6
14:25:19, 83.6
14:25:20, 83.9
14:25:21, 83.9
14:25:22, 83.6
14:25:23, 82.3
14:25:24, 82.3
14:25:25, 82.3
14:25:26, 82.3
14:25:27, 82.3
14:25:28, 82.3
14:25:29, 82.3
14:25:30, 82.3
14:25:31, 82.3
14:25:32, 82.3
14:25:34, 82.3
14:25:35, 82.3
14:25:36, 82.2
14:25:37, 82.2
14:25:38, 82.2
14:25:39, 82.2
14:25:40, 82.2
14:25:41, 82.2
14:25:42, 82.2
14:25:43, 82.2
14:25:44, 82.2
14:25:45, 82.2
14:25:46, 82.2
14:25:47, 82.2
14:25:48, 82.2
14:25:49, 82.2
14:25:50, 82.2
14:25:51, 82.2
14:25:52, 82.2
14:25:53, 82.2
14:25:54, 82.2
14:25:55, 82.2
14:25:56, 82.2
14:25:57, 82.2
14:25:58, 82.2
14:25:59, 82.2
14:26:00, 82.2
14:26:01, 82.2
14:26:02, 82.2
14:26:03, 82.2
